,quoth,beauty,wife,thoughts,death,honour,gentleman,son,sir,art[verb],passions,gods,together,favour,loves,fancy,age,still,heaven,money,else,means,saw,virtue,husband,folly,even,sight,book,seek,year,hands,pride,soon,word,mistress,although,high,sooner,gave,hold,in[adverb],tears,present,affection,sun,want,city,dead,daughter,revenge,earth,kind,keep,purse,within,looks,shalt,hearing,others,devil,light,pass,chamber,told,bring,lay,saith,common,fathers,makes,water,right,care,gold,sorrow,soul,able,back,read,blood,kings,less,ready,sin,wise,hard,ill,next,cast,ears,vain,deep,pray,bed,stand,talk,above,get,pleasant,rich,thinking,times,wealth,thousand,knew,virtues,call,coming,discourse,play,strange,conscience,bad,lady,comes,cut,pleasure,yea,given,hell,work,shepherd,taking,base,ere,follies,fortunes,sea,open,wanton,duke,countenance,prove,side,wine,courtesy,letter,self,certain,horse,wilt,counsel,delight,enough,truth,will[noun],borne,small,taken,course,enemy,seen,red,secret,worthy,mouth,past,four,mother,short,sword,ah,credit,few,manner,stood,children,further,honourable,sought,whatsoever,favours,same,fond,nay,please,england,grief,straight,prince,fame,whereupon,black,bear,drink,FALSE,glory,proud,wind,wits,hundred,fellow,greene,like[adjective],sundry,virtuous,draw,humour,used,conceit,divers,abroad,doctor,hate,grace,greatest,meat,oft,perfection,turn,almost,fit,tongue,beautiful,melancholy,passion,carry,english,fly,kept,people,purpose,whereas,disdain,force,learned,lust,number
Farewell to Folly,0.26931033,0.09367316,0.2107646,0.09757621,0.1131884,0.11709145,0.04293353,0.07025487,0.07025487,0.101479255,0.101479255,0.11709145,0.015612193,0.074157916,0.003903048,0.031224387,0.08977011,0.058545724,0.007806097,0.003903048,0.03903048,0.03903048,0.027321339,0.074157916,0.08977011,0.2107646,0.015612193,0.06635182,0.01951524,0.03903048,0.015612193,0.04683658,0.19515242,0.02341829,0.031224387,0.031224387,0.04293353,0.01951524,0.04683658,0.04683658,0.01951524,0.003903048,0.04683658,0.04683658,0.04683658,0.04293353,0.035127435,0.06635182,0.035127435,0.054642677,0.074157916,0.011709145,0.01951524,0.015612193,0.007806097,0.062448774,0.007806097,0.027321339,0.04683658,0.02341829,0,0.007806097,0.015612193,0.011709145,0.07025487,0.03903048,0.011709145,0.031224387,0.04683658,0.031224387,0.035127435,0.027321339,0.02341829,0.050739627,0.031224387,0.03903048,0.02341829,0.03903048,0.031224387,0.03903048,0.003903048,0.19124937,0.003903048,0.015612193,0.02341829,0.04683658,0.027321339,0.027321339,0.011709145,0,0.003903048,0.054642677,0.015612193,0.027321339,0.02341829,0.015612193,0.04293353,0.007806097,0.007806097,0.027321339,0.035127435,0.03903048,0.015612193,0.06635182,0.01951524,0.027321339,0.015612193,0.02341829,0.01951524,0.06635182,0.011709145,0.011709145,0.015612193,0.027321339,0.101479255,0.007806097,0.02341829,0.09367316,0.015612193,0.03903048,0.003903048,0.01951524,0.003903048,0.04683658,0.015612193,0.007806097,0.1053823,0.031224387,0.015612193,0.011709145,0.015612193,0.058545724,0.027321339,0.02341829,0.01951524,0.04293353,0.011709145,0.015612193,0.081964016,0.015612193,0.011709145,0.007806097,0.031224387,0.07025487,0.02341829,0.035127435,0.015612193,0.011709145,0.01951524,0.035127435,0.035127435,0.035127435,0.015612193,0.011709145,0.011709145,0.035127435,0.011709145,0.02341829,0.01951524,0.027321339,0.027321339,0.031224387,0.011709145,0.031224387,0.007806097,0.054642677,0.01951524,0.027321339,0.02341829,0.058545724,0.015612193,0.04293353,0.031224387,0.050739627,0.011709145,0.03903048,0.031224387,0,0.015612193,0.007806097,0.054642677,0.08586706,0.007806097,0,0.01951524,0.02341829,0.003903048,0.062448774,0.08977011,0.011709145,0.011709145,0,0.011709145,0.01951524,0.02341829,0.06635182,0.04683658,0.02341829,0.027321339,0.031224387,0.08977011,0,0.007806097,0,0.035127435,0,0.007806097,0.007806097,0.04293353,0.015612193,0.01951524,0.011709145,0.02341829,0.01951524,0.027321339,0.015612193,0.003903048,0.011709145,0.01951524,0.003903048,0.01951524,0.015612193,0.050739627,0.007806097,0.027321339,0.035127435,0.031224387,0.07806096,0
Have With You,0.016925793,0.004835941,0.014507822,0.004835941,0.038687527,0.021761734,0.038687527,0.016925793,0.06770317,0.031433616,0.00241797,0.024179704,0.058031287,0.016925793,0.007253911,0.007253911,0.041105498,0.024179704,0.041105498,0.038687527,0.033851586,0.019343764,0.024179704,0.004835941,0.007253911,0.007253911,0.06770317,0.007253911,0.14507823,0.009671882,0.08462896,0.031433616,0.009671882,0.024179704,0.07012114,0.009671882,0.014507822,0.038687527,0.00241797,0.009671882,0.050777376,0.038687527,0.004835941,0.019343764,0.00241797,0.029015644,0.033851586,0.007253911,0.053195346,0.014507822,0.012089852,0.038687527,0.031433616,0.04835941,0.021761734,0.031433616,0.014507822,0.009671882,0.009671882,0.012089852,0.031433616,0.024179704,0.029015644,0.031433616,0.026597673,0.016925793,0.026597673,0.026597673,0.041105498,0.019343764,0.021761734,0.029015644,0.050777376,0.026597673,0.009671882,0,0.024179704,0.055613317,0.050777376,0.058031287,0.012089852,0.004835941,0.021761734,0.026597673,0,0.009671882,0.016925793,0.019343764,0.041105498,0.033851586,0.026597673,0.016925793,0.019343764,0.016925793,0.012089852,0.026597673,0.016925793,0.04835941,0.038687527,0.016925793,0.019343764,0.00241797,0.036269557,0.009671882,0.021761734,0.012089852,0.004835941,0.031433616,0.016925793,0.009671882,0.024179704,0.012089852,0.012089852,0.014507822,0.004835941,0.031433616,0.043523468,0.004835941,0.012089852,0.04594144,0.009671882,0.021761734,0,0.014507822,0.014507822,0.04594144,0,0.004835941,0.026597673,0.019343764,0,0.007253911,0.014507822,0.019343764,0.016925793,0.004835941,0.014507822,0.031433616,0.004835941,0.026597673,0.024179704,0.026597673,0.009671882,0.004835941,0.0652852,0.021761734,0.014507822,0.038687527,0.007253911,0.004835941,0.021761734,0.009671882,0.021761734,0.016925793,0.00241797,0.016925793,0.043523468,0.026597673,0.038687527,0.019343764,0.041105498,0.007253911,0.00241797,0.029015644,0.026597673,0.016925793,0.012089852,0.004835941,0.033851586,0.014507822,0.004835941,0.021761734,0.004835941,0.053195346,0.00241797,0.029015644,0.019343764,0.036269557,0.00241797,0.012089852,0.014507822,0.019343764,0.009671882,0.024179704,0.029015644,0.019343764,0.019343764,0.007253911,0.007253911,0.014507822,0.026597673,0.029015644,0.055613317,0.04594144,0.04594144,0.00241797,0.00241797,0.026597673,0.007253911,0.019343764,0.012089852,0.019343764,0.014507822,0.18860169,0.004835941,0.026597673,0.009671882,0.031433616,0.00241797,0,0.038687527,0.019343764,0.012089852,0.050777376,0,0.012089852,0,0.024179704,0.041105498,0.007253911,0.016925793,0.007253911,0.014507822,0.041105498,0.004835941,0.009671882,0.016925793,0.00241797,0.024179704
Lenten Stuff,0.016311219,0.020389022,0.012233414,0,0.040778045,0.024466828,0.016311219,0.016311219,0.012233414,0.020389022,0,0.032622438,0.07747828,0.00815561,0,0.004077805,0.016311219,0.020389022,0.032622438,0.032622438,0.03670024,0.02854463,0.016311219,0.00815561,0.004077805,0.004077805,0.032622438,0.016311219,0.032622438,0.024466828,0.110100724,0.05301146,0,0.00815561,0.048933655,0.020389022,0,0.05301146,0.016311219,0.012233414,0.05708926,0.07340048,0.00815561,0.02854463,0,0.032622438,0.02854463,0.040778045,0.03670024,0.004077805,0.00815561,0.032622438,0.032622438,0.032622438,0.004077805,0.03670024,0.012233414,0,0.004077805,0.012233414,0.00815561,0.024466828,0.016311219,0.012233414,0.00815561,0.040778045,0.024466828,0.02854463,0.044855848,0.00815561,0.012233414,0.0856339,0.07340048,0.02854463,0.03670024,0.00815561,0.016311219,0.024466828,0.024466828,0.016311219,0.044855848,0.03670024,0.032622438,0.00815561,0,0.00815561,0.016311219,0.012233414,0.05301146,0.05301146,0.02854463,0.016311219,0.040778045,0.016311219,0.03670024,0.03670024,0.016311219,0.06116707,0.02854463,0.004077805,0.02854463,0,0.024466828,0.012233414,0.089711696,0.012233414,0.004077805,0.012233414,0.00815561,0.004077805,0.024466828,0.00815561,0.004077805,0.00815561,0.02854463,0.012233414,0.016311219,0.004077805,0.00815561,0.016311219,0.016311219,0.020389022,0,0.016311219,0.00815561,0.024466828,0,0.004077805,0.16311218,0.016311219,0,0.004077805,0,0.016311219,0.032622438,0.02854463,0.004077805,0.004077805,0.012233414,0.024466828,0.024466828,0.004077805,0.016311219,0.00815561,0.02854463,0.004077805,0.024466828,0.020389022,0.044855848,0.024466828,0.00815561,0.012233414,0.020389022,0.29360193,0.00815561,0.012233414,0.040778045,0.00815561,0.065244876,0.00815561,0,0.012233414,0,0.00815561,0.016311219,0.016311219,0.040778045,0.024466828,0.020389022,0.004077805,0.016311219,0.00815561,0.00815561,0.02854463,0,0.024466828,0.02854463,0.040778045,0.004077805,0,0.020389022,0.012233414,0.00815561,0.016311219,0.05301146,0.032622438,0.00815561,0.00815561,0.004077805,0.05301146,0.012233414,0.07340048,0.016311219,0.016311219,0.012233414,0.004077805,0,0.016311219,0.012233414,0.012233414,0.004077805,0.012233414,0.016311219,0.004077805,0,0.004077805,0.004077805,0.040778045,0.00815561,0,0.040778045,0.004077805,0.004077805,0.00815561,0,0.004077805,0,0.016311219,0.044855848,0.020389022,0.016311219,0.02854463,0.012233414,0.012233414,0.004077805,0.012233414,0.020389022,0,0.02854463
Menaphon,0.284823,0.212487,0.027126001,0.16727701,0.054252002,0.067815,0.031647,0.063294,0.04521,0.067815,0.063294,0.049731,0.022605,0.036168,0.131109,0.09042,0.036168,0.04521,0.054252002,0.004521,0.04521,0.031647,0.058773,0.013563001,0.027126001,0.009042,0.027126001,0.040689,0,0.036168,0,0.009042,0.013563001,0.063294,0.036168,0.162756,0.040689,0.076857,0.067815,0.09042,0.036168,0.018084,0.09042,0.049731,0.058773,0.081378,0.027126001,0,0.09042,0.076857,0.036168,0.027126001,0.031647,0.022605,0.009042,0.040689,0.099462,0.027126001,0.063294,0.027126001,0,0.027126001,0.036168,0.031647,0.027126001,0.022605,0.036168,0,0.009042,0.04521,0.027126001,0.022605,0.004521,0.013563001,0.031647,0.076857,0.018084,0.027126001,0.031647,0.018084,0.027126001,0.040689,0.040689,0.031647,0,0.031647,0.018084,0.009042,0.013563001,0.040689,0.027126001,0.027126001,0.072336,0.027126001,0.022605,0.009042,0.031647,0.018084,0.009042,0.036168,0.009042,0.054252002,0.022605,0.027126001,0.013563001,0.022605,0.004521,0.013563001,0.009042,0.027126001,0.031647,0.040689,0,0.018084,0.013563001,0.004521,0.018084,0.018084,0,0.027126001,0.009042,0.004521,0.230571,0.027126001,0.027126001,0.009042,0.018084,0.113025,0.049731,0.009042,0.067815,0.004521,0.040689,0.04521,0.018084,0.004521,0.022605,0.004521,0.031647,0.022605,0.009042,0.018084,0.013563001,0.040689,0.036168,0.009042,0.009042,0.040689,0.009042,0.018084,0.018084,0.022605,0.018084,0.013563001,0.013563001,0.018084,0.018084,0.018084,0.004521,0.081378,0.018084,0.009042,0.036168,0.009042,0.022605,0.054252002,0.049731,0.027126001,0.031647,0.009042,0.022605,0,0.04521,0.013563001,0.027126001,0.013563001,0.022605,0,0.067815,0.036168,0.009042,0.022605,0.022605,0.013563001,0.018084,0.009042,0.004521,0.018084,0.036168,0.018084,0.013563001,0.009042,0.018084,0.018084,0.018084,0.022605,0.009042,0.027126001,0.009042,0.018084,0.04521,0,0.022605,0,0.031647,0.022605,0.027126001,0.009042,0.031647,0.054252002,0.022605,0.009042,0.004521,0.031647,0.049731,0.027126001,0.049731,0.018084,0,0.072336,0.027126001,0.018084,0.022605,0,0.022605,0.027126001,0.018084,0.013563001,0.004521
Mourning Garment,0.27319294,0.21627775,0.07398976,0.10244735,0.056915198,0.034149118,0.062606715,0.14797951,0.18212862,0.03984064,0.062606715,0,0.017074559,0.10244735,0.0853728,0.051223677,0.056915198,0.03984064,0.011383039,0.022766078,0.034149118,0.017074559,0.07398976,0.03984064,0.028457599,0.051223677,0.07968128,0.07398976,0.011383039,0.034149118,0.017074559,0.034149118,0.028457599,0.028457599,0.011383039,0.051223677,0.017074559,0.045532156,0.03984064,0.09675583,0.03984064,0.045532156,0.09675583,0.068298236,0.03984064,0.056915198,0.051223677,0.034149118,0.017074559,0.028457599,0.028457599,0.022766078,0.034149118,0.017074559,0.045532156,0.045532156,0.09106431,0.051223677,0.051223677,0.011383039,0,0.022766078,0.022766078,0.022766078,0.034149118,0.03984064,0.028457599,0.00569152,0.022766078,0.056915198,0.011383039,0.011383039,0.011383039,0.03984064,0.068298236,0.028457599,0.00569152,0.022766078,0.034149118,0.011383039,0.017074559,0.03984064,0.03984064,0.028457599,0.017074559,0.051223677,0.051223677,0.028457599,0.017074559,0.051223677,0.051223677,0.017074559,0.045532156,0.028457599,0.034149118,0.017074559,0.017074559,0.034149118,0.017074559,0.062606715,0.017074559,0.034149118,0.011383039,0.062606715,0.00569152,0.00569152,0.028457599,0.034149118,0.011383039,0.011383039,0.011383039,0.034149118,0.00569152,0.034149118,0.03984064,0.011383039,0.00569152,0.034149118,0.00569152,0.017074559,0.00569152,0.011383039,0.19351166,0.017074559,0.017074559,0.017074559,0.09106431,0.119521916,0,0.017074559,0.056915198,0,0.022766078,0.011383039,0.034149118,0.011383039,0.034149118,0,0.011383039,0.017074559,0.011383039,0.017074559,0.07968128,0.062606715,0.028457599,0.022766078,0.017074559,0.011383039,0.022766078,0.022766078,0.017074559,0.017074559,0.045532156,0.017074559,0.017074559,0.022766078,0,0.03984064,0.00569152,0.028457599,0.022766078,0.022766078,0.2048947,0.017074559,0.017074559,0.028457599,0.051223677,0,0.028457599,0,0.028457599,0.00569152,0.056915198,0,0.028457599,0.022766078,0.056915198,0.00569152,0.062606715,0.03984064,0,0.028457599,0.034149118,0.03984064,0.017074559,0.011383039,0.017074559,0.00569152,0.011383039,0.017074559,0.017074559,0,0.00569152,0.017074559,0.028457599,0.022766078,0.028457599,0.034149118,0.017074559,0.00569152,0.011383039,0.00569152,0.022766078,0,0.00569152,0.022766078,0.011383039,0.022766078,0.0853728,0.056915198,0.028457599,0.017074559,0.051223677,0.011383039,0.10244735,0.011383039,0.03984064,0.022766078,0,0.056915198,0.011383039,0.00569152,0,0.017074559,0.00569152,0.011383039,0.00569152,0.011383039,0.00569152
Never Too Late,0.12443496,0.1599878,0.0939611,0.119355984,0.035552848,0.045710802,0.0685662,0.06094774,0.040631823,0.06094774,0.14729036,0.012697445,0.022855401,0.07364518,0.091421604,0.07872416,0.06602672,0.022855401,0.02539489,0.012697445,0.03047387,0.043171313,0.07364518,0.06602672,0.03301336,0.05332927,0.017776424,0.07364518,0.012697445,0.020315912,0.007618467,0.02793438,0.045710802,0.07872416,0.020315912,0.08888212,0.063487224,0.038092338,0.03301336,0.035552848,0.03301336,0.015236935,0.06094774,0.05586876,0.07872416,0.08380314,0.05078978,0.040631823,0.015236935,0.038092338,0.007618467,0.02793438,0.022855401,0.015236935,0.022855401,0.045710802,0.06094774,0.03047387,0.02539489,0.02539489,0.010157956,0.02793438,0.05078978,0.05586876,0.020315912,0.017776424,0.04825029,0,0.012697445,0.02539489,0.02539489,0.022855401,0.02539489,0.035552848,0.02793438,0.07364518,0.03301336,0.03047387,0.035552848,0.040631823,0.007618467,0.005078978,0.043171313,0.06094774,0.0685662,0.035552848,0.040631823,0.012697445,0.02793438,0.02539489,0.035552848,0.02793438,0.02793438,0.03047387,0.022855401,0.022855401,0.015236935,0.020315912,0.015236935,0.05332927,0.02539489,0.035552848,0.005078978,0.05078978,0.010157956,0.020315912,0.04825029,0.015236935,0.022855401,0.03047387,0.007618467,0.02793438,0.022855401,0.007618467,0.007618467,0.015236935,0.010157956,0.03047387,0.005078978,0.03047387,0.022855401,0.015236935,0.012697445,0.035552848,0.012697445,0.020315912,0.1168165,0.086342625,0.007618467,0.02539489,0.040631823,0,0.038092338,0.02793438,0.022855401,0.012697445,0.038092338,0.05840825,0.03047387,0.017776424,0.02793438,0.05078978,0.017776424,0.035552848,0.012697445,0.020315912,0.035552848,0.007618467,0.012697445,0.020315912,0.05332927,0.005078978,0.020315912,0.015236935,0.03301336,0.022855401,0.012697445,0.02539489,0.002539489,0.05078978,0.022855401,0.017776424,0.038092338,0.02539489,0.017776424,0.007618467,0.020315912,0.005078978,0.02793438,0.002539489,0.015236935,0.010157956,0.045710802,0.017776424,0.040631823,0.022855401,0.020315912,0.012697445,0.043171313,0.03301336,0.002539489,0.010157956,0.038092338,0.010157956,0.012697445,0.010157956,0.02539489,0.015236935,0.038092338,0.02539489,0.022855401,0.005078978,0.005078978,0.02539489,0.010157956,0.017776424,0.02793438,0.02793438,0.035552848,0.022855401,0.03047387,0.007618467,0.02793438,0,0.012697445,0.02793438,0.020315912,0.002539489,0.03047387,0.05586876,0.005078978,0.022855401,0.020315912,0.015236935,0.03047387,0.02539489,0.040631823,0.020315912,0.002539489,0.035552848,0.012697445,0.03047387,0.012697445,0.007618467,0.035552848,0.017776424,0.007618467,0.03301336,0.002539489
Orpharion,0.22083806,0.27180067,0.06795017,0.10758777,0.101925254,0.0792752,0.011325029,0.045300115,0.022650057,0.0792752,0.13023783,0.14156285,0.016987542,0.084937714,0.06795017,0.09626274,0.0396376,0.045300115,0.011325029,0.005662514,0.06795017,0.045300115,0.056625143,0.07361268,0.022650057,0.045300115,0.028312571,0.028312571,0.005662514,0.06795017,0,0.028312571,0.028312571,0.050962627,0.033975083,0.016987542,0.033975083,0.028312571,0.13590033,0.028312571,0.033975083,0.011325029,0.09626274,0.07361268,0.028312571,0.022650057,0.016987542,0.011325029,0.016987542,0.13590033,0.06795017,0.011325029,0.022650057,0.022650057,0.005662514,0.0396376,0.084937714,0.07361268,0.084937714,0.050962627,0.005662514,0.033975083,0.033975083,0.0396376,0.062287655,0.016987542,0.011325029,0.005662514,0.005662514,0.045300115,0.033975083,0.033975083,0.07361268,0,0.016987542,0.028312571,0.016987542,0.011325029,0.056625143,0.022650057,0.050962627,0.0792752,0.045300115,0.056625143,0,0,0.016987542,0.016987542,0.022650057,0.022650057,0.033975083,0.022650057,0.056625143,0.050962627,0,0.011325029,0.0396376,0.050962627,0.028312571,0.050962627,0.033975083,0.022650057,0.011325029,0.016987542,0.028312571,0.022650057,0.062287655,0.016987542,0.045300115,0.056625143,0.005662514,0.016987542,0,0.050962627,0.0792752,0.028312571,0,0.045300115,0.050962627,0.011325029,0.056625143,0.016987542,0.056625143,0.045300115,0.028312571,0.016987542,0.005662514,0.056625143,0.016987542,0.011325029,0.005662514,0.0396376,0.056625143,0.06795017,0.016987542,0,0.016987542,0.033975083,0.050962627,0.005662514,0.016987542,0.028312571,0.005662514,0.028312571,0.005662514,0.016987542,0.033975083,0.005662514,0.028312571,0.0396376,0.011325029,0.050962627,0,0.011325029,0.050962627,0.011325029,0.005662514,0.0396376,0.011325029,0.033975083,0.022650057,0.09626274,0.056625143,0,0.050962627,0.033975083,0.028312571,0.011325029,0.022650057,0.0396376,0.022650057,0.0396376,0.016987542,0.016987542,0.06795017,0.028312571,0.056625143,0,0.033975083,0.005662514,0.09626274,0.016987542,0.06795017,0.016987542,0.011325029,0.011325029,0.028312571,0.011325029,0.022650057,0.011325029,0.011325029,0.005662514,0.005662514,0.022650057,0.005662514,0.022650057,0.022650057,0.005662514,0.016987542,0.016987542,0.011325029,0.005662514,0.033975083,0,0.016987542,0.033975083,0.056625143,0.07361268,0.045300115,0.011325029,0.022650057,0.022650057,0.045300115,0.022650057,0.045300115,0.033975083,0.011325029,0.016987542,0,0,0.011325029,0.016987542,0.005662514,0.011325029,0.0792752,0.022650057,0.011325029,0.028312571,0.022650057
Pandosto,0.09807768,0.2223094,0.24192494,0.14384726,0.13730875,0.13730875,0.006538512,0.18961684,0.058846608,0.1111547,0.058846608,0.1111547,0.03269256,0.045769583,0.006538512,0.06538512,0.08500066,0.07846214,0,0.026154047,0.006538512,0.052308094,0.07192363,0.03269256,0.07192363,0.117693216,0.019615535,0.03923107,0,0.052308094,0.019615535,0.019615535,0.019615535,0.052308094,0.013077023,0.019615535,0.03923107,0.052308094,0.07192363,0.03923107,0.006538512,0.026154047,0.026154047,0.03923107,0.058846608,0.052308094,0.052308094,0.03269256,0.06538512,0.15038577,0.03923107,0,0,0.045769583,0.019615535,0.026154047,0.03269256,0.019615535,0.09807768,0.013077023,0,0,0.06538512,0.03923107,0.10461619,0.03923107,0.03923107,0,0,0.03923107,0,0.006538512,0.013077023,0.07846214,0.058846608,0.058846608,0.013077023,0.019615535,0.013077023,0.026154047,0.006538512,0.13730875,0.07846214,0.045769583,0,0.03923107,0.07846214,0.013077023,0.019615535,0.03269256,0.019615535,0.026154047,0.03269256,0.019615535,0.019615535,0.026154047,0.03923107,0.045769583,0.045769583,0.006538512,0.1111547,0.08500066,0.019615535,0.013077023,0.026154047,0.058846608,0.019615535,0.013077023,0.052308094,0.019615535,0.013077023,0.03269256,0.058846608,0.019615535,0.026154047,0.006538512,0.013077023,0.03269256,0.08500066,0.019615535,0,0.013077023,0.24192494,0.058846608,0.045769583,0.026154047,0,0.013077023,0.08500066,0.013077023,0.019615535,0,0.06538512,0,0.03923107,0,0.09153917,0,0.013077023,0.03269256,0.013077023,0.03923107,0.052308094,0.006538512,0.019615535,0.019615535,0.045769583,0.058846608,0.045769583,0.013077023,0.006538512,0.013077023,0.026154047,0.006538512,0.07192363,0.019615535,0,0.052308094,0,0.006538512,0.045769583,0,0.08500066,0.026154047,0.006538512,0.026154047,0.03269256,0.013077023,0.052308094,0.013077023,0.03923107,0.006538512,0.006538512,0,0.058846608,0.006538512,0.026154047,0,0.03269256,0.019615535,0.15692428,0.03269256,0.026154047,0.006538512,0.013077023,0,0.045769583,0.006538512,0.03269256,0.10461619,0,0,0.006538512,0.019615535,0.019615535,0.019615535,0.03923107,0,0.006538512,0.026154047,0,0.026154047,0.045769583,0,0.03923107,0.03269256,0.019615535,0,0.03923107,0.058846608,0.026154047,0.013077023,0.07846214,0,0.03269256,0.019615535,0.052308094,0.03269256,0,0.006538512,0.019615535,0.006538512,0.026154047,0.006538512,0.03923107,0.03923107,0.019615535,0.026154047,0
Penelope's Web,0.24178383,0.07163965,0.25073877,0.1432793,0.05372974,0.09850452,0,0.17014417,0,0.02686487,0.035819825,0.10745948,0,0.035819825,0.008954956,0.05372974,0.06268469,0.05372974,0,0.008954956,0.017909912,0.008954956,0.008954956,0.12536938,0.19700904,0.035819825,0.008954956,0.008954956,0.008954956,0.044774782,0,0.02686487,0.008954956,0.08059461,0.02686487,0.035819825,0.09850452,0,0.044774782,0.05372974,0.044774782,0.017909912,0.017909912,0.044774782,0.09850452,0.017909912,0.05372974,0.044774782,0,0.02686487,0.10745948,0.008954956,0,0.035819825,0,0.05372974,0.017909912,0.02686487,0.06268469,0.044774782,0,0.017909912,0.017909912,0,0.089549564,0.044774782,0.017909912,0.02686487,0.02686487,0.035819825,0.08059461,0.02686487,0.035819825,0.05372974,0.008954956,0.02686487,0.008954956,0.035819825,0.017909912,0.017909912,0.008954956,0.044774782,0,0.017909912,0.008954956,0.12536938,0.044774782,0.05372974,0.02686487,0.008954956,0.017909912,0.02686487,0.017909912,0.008954956,0.017909912,0.02686487,0.044774782,0.035819825,0.02686487,0.044774782,0.035819825,0.05372974,0,0.035819825,0,0.05372974,0.116414435,0,0.02686487,0.08059461,0,0.017909912,0.044774782,0.08059461,0.06268469,0,0.008954956,0.044774782,0,0.02686487,0,0.116414435,0,0.035819825,0.008954956,0.008954956,0.035819825,0.008954956,0.008954956,0.008954956,0.017909912,0,0.02686487,0.008954956,0.008954956,0.008954956,0.017909912,0.008954956,0.07163965,0.08059461,0.035819825,0,0,0.017909912,0.008954956,0.044774782,0.017909912,0.008954956,0.08059461,0.017909912,0.05372974,0.035819825,0.017909912,0,0.02686487,0.008954956,0.008954956,0.02686487,0.008954956,0.008954956,0.017909912,0.02686487,0,0.008954956,0,0.017909912,0,0.044774782,0.035819825,0.10745948,0.017909912,0.05372974,0.02686487,0.035819825,0.035819825,0.02686487,0.02686487,0,0.035819825,0.017909912,0.08059461,0.06268469,0,0.017909912,0.008954956,0.008954956,0,0.02686487,0.008954956,0.008954956,0.008954956,0,0,0.035819825,0,0.044774782,0.12536938,0.008954956,0.035819825,0.02686487,0.044774782,0.044774782,0,0,0.035819825,0.02686487,0.044774782,0,0.08059461,0.05372974,0,0.02686487,0,0.044774782,0.035819825,0.017909912,0.017909912,0,0,0.017909912,0.035819825,0.008954956,0.044774782,0.035819825,0,0.017909912,0.017909912,0.035819825,0.017909912
Perimedes,0.098983765,0.046192426,0.23756105,0.17157187,0.05939026,0.09238485,0.052791342,0.105582684,0,0.07258809,0.112181604,0.046192426,0.006598918,0.046192426,0.039593507,0.08578593,0.019796753,0.046192426,0.006598918,0.006598918,0.046192426,0.039593507,0,0.07258809,0.112181604,0.013197836,0.013197836,0.03299459,0.013197836,0.05939026,0.013197836,0.03299459,0,0.026395671,0.019796753,0.026395671,0.06598918,0.026395671,0.11878052,0.039593507,0.03299459,0.006598918,0.03299459,0.06598918,0.046192426,0.019796753,0.07258809,0.03299459,0.026395671,0.112181604,0.026395671,0.03299459,0.019796753,0.013197836,0.006598918,0.06598918,0.013197836,0.046192426,0.06598918,0.039593507,0,0.006598918,0.06598918,0.019796753,0.105582684,0.013197836,0.026395671,0.013197836,0.013197836,0.07918701,0.026395671,0.013197836,0.03299459,0,0.039593507,0.05939026,0.006598918,0.046192426,0.03299459,0,0,0.03299459,0.026395671,0.039593507,0,0.019796753,0.026395671,0.046192426,0.026395671,0.006598918,0.026395671,0.019796753,0.019796753,0.013197836,0.026395671,0.019796753,0.006598918,0.019796753,0.019796753,0.052791342,0.105582684,0.03299459,0.019796753,0.06598918,0,0.039593507,0.06598918,0.013197836,0.026395671,0.06598918,0.039593507,0.03299459,0.026395671,0.013197836,0.07258809,0.013197836,0.006598918,0.05939026,0.06598918,0.006598918,0.006598918,0.039593507,0,0.07258809,0.026395671,0.013197836,0.026395671,0.026395671,0.06598918,0.013197836,0.019796753,0.09238485,0.013197836,0.006598918,0.026395671,0.013197836,0.05939026,0,0.098983765,0.05939026,0.026395671,0.03299459,0,0.046192426,0,0.026395671,0.019796753,0.026395671,0.03299459,0.046192426,0.039593507,0.07258809,0.006598918,0,0.06598918,0.03299459,0.03299459,0.039593507,0,0.019796753,0.013197836,0.019796753,0.019796753,0.026395671,0.006598918,0.098983765,0.039593507,0.03299459,0.019796753,0.03299459,0.07258809,0.026395671,0.07258809,0.03299459,0.052791342,0,0.03299459,0.006598918,0.046192426,0.03299459,0.013197836,0.046192426,0.06598918,0.026395671,0.006598918,0,0,0.026395671,0.026395671,0.03299459,0.006598918,0,0,0.013197836,0.006598918,0.08578593,0.07258809,0.013197836,0.013197836,0.013197836,0.019796753,0.013197836,0.006598918,0,0.006598918,0.03299459,0.052791342,0.006598918,0.052791342,0.019796753,0,0.03299459,0.052791342,0.013197836,0.039593507,0.046192426,0.019796753,0,0.006598918,0.006598918,0.039593507,0.006598918,0.019796753,0.006598918,0.019796753,0.013197836,0.013197836,0,0
